,x
1,0
2,78934
3,111804
4,52086
5,18295
6,134585
7,109090
8,37150
9,96442
10,126815
11,122542
12,142366
13,25283
14,117533
15,22880
16,14587
17,7291
18,52122
19,32965
20,17097
21,182416
22,47302
23,179449
24,140126
25,148033
26,156365
27,34120
28,16023
29,189218
30,195889
31,20433
32,81072
33,89712
34,71430
35,122621
36,48908
37,134856
38,182992
39,139226
40,70519
41,114579
42,160100
43,36259
44,193076
45,111126
46,111212
47,34859
48,27393
49,100562
50,10978
51,15692
52,15068
53,17456
54,54009
55,176333
56,95759
57,169857
58,7863
59,56902
60,178437
61,173005
62,135072
63,74925
64,43957
65,84033
66,33299
67,154544
68,190113
69,28712
70,180225
71,201
72,167766
73,81448
74,157028
75,91434
76,54234
77,118906
78,40067
79,38974
80,175351
81,174336
82,23479
83,177281
84,52499
85,54099
86,14787
87,6867
88,148235
89,40951
90,194590
91,65382
92,126709
93,87909
94,114066
95,54884
96,171052
97,110642
98,118464
99,127005
100,115302
101,100902
102,3834
103,27405
104,180995
105,31302
106,114846
107,147507
108,118005
109,24028
110,98096
111,115498
112,85198
113,152420
114,194374
115,42297
116,83706
117,172792
118,97224
119,175475
120,79674
121,122857
122,17908
123,156690
124,41410
125,127010
126,86626
127,183951
128,186162
129,160697
130,173812
131,38685
132,40311
133,184649
134,120968
135,48207
136,95291
137,42402
138,108585
139,66553
140,98556
141,134570
142,45729
143,15438
144,191046
145,126846
146,191416
147,126688
148,118536
149,184125
150,8903
151,168405
152,121119
153,103392
154,1239
155,45782
156,66237
157,122602
158,92339
159,64886
160,58672
161,2871
162,61489
163,173106
164,43510
165,149968
166,100473
167,101793
168,183475
169,166254
170,97449
171,62462
172,146240
173,144032
174,115387
175,176527
176,119461
177,141310
178,117918
179,10770
180,115770
181,73287
182,37948
183,118199
184,174717
185,126120
186,66623
187,46691
188,58839
189,116551
190,22602
191,148989
192,50157
193,9340
194,165439
195,178462
196,56463
197,151839
198,149862
199,135733
200,122286
201,18306
202,15644
203,161264
204,86973
205,9480
206,98760
207,68536
208,142356
209,128953
210,94815
211,112448
212,85262
213,99063
214,96639
215,111257
216,41761
217,160689
218,89860
219,61138
220,184503
221,45009
222,71408
223,128489
224,31995
225,184897
226,46730
227,54030
228,101175
229,49388
230,103678
231,104763
232,5837
233,119357
234,114713
235,51423
236,67530
237,72783
238,125459
239,65582
240,130595
241,9508
242,65940
243,151981
244,111036
245,75015
246,196485
247,54841
248,120648
